site_id,LON,LAT,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2MDEW,WS10M,ALLSKY_SFC_SW_DWN,PRECTOTCORR
JP-Yms,135.840939,34.790278,2001,3,5,5.05,-1.12,-2.38,8.49,12.84,1.42
JP-Yms,135.840939,34.790278,2001,3,6,11.72,-0.91,2.69,4.1,16.54,0.06
JP-Yms,135.840939,34.790278,2001,3,7,9.43,0.04,2.59,6.73,9.67,2.21
JP-Yms,135.840939,34.790278,2001,3,8,4.56,-1.46,-2.13,6.1,12.02,6.12
JP-Yms,135.840939,34.790278,2001,3,9,2.04,-3.46,-2.74,5.45,10.86,7.05
JP-Yms,135.840939,34.790278,2001,3,10,5.53,-4.08,-1.4,5.93,13.88,5.86
JP-Yms,135.840939,34.790278,2001,3,11,3.27,-2.55,-3.11,4.47,15.37,1.13
JP-Yms,135.840939,34.790278,2001,3,12,7.17,-2.56,-1.81,3.6,19.29,0.89
JP-Yms,135.840939,34.790278,2001,3,13,4.24,-2.36,-3.22,6.21,17.39,0.69
JP-Yms,135.840939,34.790278,2001,3,14,13.67,-1.96,3.71,4.46,20.26,0.01
JP-Yms,135.840939,34.790278,2001,3,15,14.62,0.66,6.61,6.79,5.02,2.45
JP-Yms,135.840939,34.790278,2001,3,16,10.06,-1.86,-0.73,3.01,21.45,0
JP-Yms,135.840939,34.790278,2001,3,17,11.06,2.55,5.35,3.33,5.12,4.65
JP-Yms,135.840939,34.790278,2001,3,18,12.83,4.37,5.14,5.26,17.12,4.16
JP-Yms,135.840939,34.790278,2001,3,19,15.07,3.29,4.65,3.44,20.92,0
JP-Yms,135.840939,34.790278,2001,3,20,15.52,5.19,6.7,4.16,16.92,0
JP-Yms,135.840939,34.790278,2001,3,21,15.29,4.39,5.7,3.65,18.82,0
JP-Yms,135.840939,34.790278,2001,3,22,17.87,2.69,5.69,3.86,20.34,0.16
JP-Yms,135.840939,34.790278,2001,3,23,10.54,4.53,2.87,3.37,14.35,0.04
JP-Yms,135.840939,34.790278,2001,3,24,17.25,1.4,6.18,3.48,18.98,0
JP-Yms,135.840939,34.790278,2001,3,25,14.87,9.53,10.91,4.24,5.62,13.88
JP-Yms,135.840939,34.790278,2001,3,26,11.6,2.06,4.42,6.03,20.92,3.21
JP-Yms,135.840939,34.790278,2001,3,27,10.19,0.51,0.8,3.46,17.83,0
JP-Yms,135.840939,34.790278,2001,3,28,16.59,2.72,6.16,4.44,8.71,1.07
JP-Yms,135.840939,34.790278,2001,3,29,10.88,3.73,5,4.44,6.76,2.26
JP-Yms,135.840939,34.790278,2001,3,30,7.44,1.51,1.02,5.11,17.6,4.67
JP-Yms,135.840939,34.790278,2001,3,31,4.93,0.28,0.5,4.26,11.4,5.36
JP-Yms,135.840939,34.790278,2001,4,1,8.97,-0.1,0.55,3.22,19.08,0.76
JP-Yms,135.840939,34.790278,2001,4,2,15.17,1.95,5.65,4.76,20.71,0
JP-Yms,135.840939,34.790278,2001,4,3,12.69,3.18,6.44,5.24,5.61,1.88
JP-Yms,135.840939,34.790278,2001,4,4,9.51,1.72,0.31,5.49,22.52,0.3
JP-Yms,135.840939,34.790278,2001,4,5,16.41,-0.02,3.68,3.07,23.65,0
JP-Yms,135.840939,34.790278,2001,4,6,19.08,5.81,8.88,1.63,22.86,0
JP-Yms,135.840939,34.790278,2001,4,7,19.6,8.1,9.55,1.56,22.54,0
JP-Yms,135.840939,34.790278,2001,4,8,19.59,7.78,11.01,3.81,20.77,0
JP-Yms,135.840939,34.790278,2001,4,9,17.57,10.41,12.01,4.69,11.38,1.19
JP-Yms,135.840939,34.790278,2001,4,10,22.15,9.39,10.89,2.25,21.05,0.01
JP-Yms,135.840939,34.790278,2001,4,11,22.37,10.33,11.98,2.16,18.55,0
JP-Yms,135.840939,34.790278,2001,4,12,14.41,5.22,8.76,5.52,5.28,10.6
JP-Yms,135.840939,34.790278,2001,4,13,15.68,3.63,5.21,4.12,23.14,0.6
JP-Yms,135.840939,34.790278,2001,4,14,16.88,4.87,7.53,4.25,14.44,0.36
JP-Yms,135.840939,34.790278,2001,4,15,17.94,3.74,6.37,4.1,25.27,0
JP-Yms,135.840939,34.790278,2001,4,16,20.22,5.96,8.39,2.8,24.83,0
JP-Yms,135.840939,34.790278,2001,4,17,20.79,8.2,10.61,2.51,21.71,0
JP-Yms,135.840939,34.790278,2001,4,18,18.75,10.19,10.97,3.37,7.97,0.14
JP-Yms,135.840939,34.790278,2001,4,19,21.16,9.02,9.68,3.68,24.92,0.03
JP-Yms,135.840939,34.790278,2001,4,20,13.33,5.41,6.17,5.96,22.44,0
JP-Yms,135.840939,34.790278,2001,4,21,11.33,4.9,4.53,2.99,5.09,2.73
JP-Yms,135.840939,34.790278,2001,4,22,12.92,2.6,3.74,6.69,26.44,1.4
JP-Yms,135.840939,34.790278,2001,4,23,18.37,1.88,4.23,2.82,26.69,0
JP-Yms,135.840939,34.790278,2001,4,24,16.92,9.19,11.1,3.7,7.68,4.72
JP-Yms,135.840939,34.790278,2001,4,25,13.72,5.08,5.96,5.49,8.97,6.6
JP-Yms,135.840939,34.790278,2001,4,26,15.2,3.31,2.93,4.12,26.3,0
JP-Yms,135.840939,34.790278,2001,4,27,19.2,6.36,1.37,1.1,26.07,0
JP-Yms,135.840939,34.790278,2001,4,28,18.54,6.04,8.37,2.76,20.27,0
JP-Yms,135.840939,34.790278,2001,4,29,19.57,9.49,14.16,3.29,5.16,8.74
JP-Yms,135.840939,34.790278,2001,4,30,18.17,10.83,13.41,4.48,10.36,2.26
JP-Yms,135.840939,34.790278,2001,5,1,21.67,10.01,12.29,1.93,17.17,0.01
JP-Yms,135.840939,34.790278,2001,5,2,14.66,11.18,10.95,6.73,4.43,25.21
JP-Yms,135.840939,34.790278,2001,5,3,16.62,9.53,10.05,5.16,13.03,5.13
JP-Yms,135.840939,34.790278,2001,5,4,18.86,8.68,9.95,2.82,21.09,0
JP-Yms,135.840939,34.790278,2001,5,5,19.02,9.2,12.47,2.17,14.53,0.08
JP-Yms,135.840939,34.790278,2001,5,6,20.95,11.68,13.5,3.27,18.1,0.22
JP-Yms,135.840939,34.790278,2001,5,7,22.87,11.3,14.71,4.71,18.47,1.16
JP-Yms,135.840939,34.790278,2001,5,8,23.16,15.78,17.26,3.94,9.17,14.92
JP-Yms,135.840939,34.790278,2001,5,9,23.29,13.24,16.4,2.71,18.88,0.47
JP-Yms,135.840939,34.790278,2001,5,10,20.81,10.37,11.66,3.54,18.13,0.02
JP-Yms,135.840939,34.790278,2001,5,11,20.72,9.25,9.73,3.93,25.07,0
JP-Yms,135.840939,34.790278,2001,5,12,20.95,7.81,9.55,2.25,27.4,0.11
JP-Yms,135.840939,34.790278,2001,5,13,23.47,10.11,10.68,1.97,28.43,0
JP-Yms,135.840939,34.790278,2001,5,14,23.49,11.28,12.98,2.9,18.95,0
JP-Yms,135.840939,34.790278,2001,5,15,23.89,13.17,14.38,3.3,20.3,0.02
JP-Yms,135.840939,34.790278,2001,5,16,23.19,10.45,12.7,3.76,22.48,0.01
JP-Yms,135.840939,34.790278,2001,5,17,22.85,10.39,8.59,2.12,25.58,0
JP-Yms,135.840939,34.790278,2001,5,18,22.84,11.19,13.19,3.75,18.17,0
JP-Yms,135.840939,34.790278,2001,5,19,22.9,13.03,15.07,3.6,24.84,0
JP-Yms,135.840939,34.790278,2001,5,20,26.56,13.12,16.31,3.06,26.6,0
JP-Yms,135.840939,34.790278,2001,5,21,23.41,13.98,16.41,3.23,11.03,0.12
JP-Yms,135.840939,34.790278,2001,5,22,19.97,16.85,16.46,6.49,5.6,15.66
JP-Yms,135.840939,34.790278,2001,5,23,20.39,16.52,17.06,4.15,5.33,40.13
JP-Yms,135.840939,34.790278,2001,5,24,21.91,15.81,16.63,4,9.72,14.5
JP-Yms,135.840939,34.790278,2001,5,25,22.62,14.51,15.82,3.23,20.67,0.06
JP-Yms,135.840939,34.790278,2001,5,26,26.39,15.46,17.57,2.84,22.44,0.08
JP-Yms,135.840939,34.790278,2001,5,27,22.37,15.51,14.96,1.72,8.73,5.93
