"site","LON","LAT","YEAR","MO","DY","HR","T2M","T2MDEW","PRECTOTCORR","ALLSKY_SFC_SW_DWN","WS10M"
"US-xSE",-76.56,38.8901,2001,1,4,4,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,5,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,6,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,7,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,8,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,9,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,10,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,11,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,12,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,13,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,14,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,15,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,16,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,17,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,18,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,19,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,20,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,21,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,22,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,4,23,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,0,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,1,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,2,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,3,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,4,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,5,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,6,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,7,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,8,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,9,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,10,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,11,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,12,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,13,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,14,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,15,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,16,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,17,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,18,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,19,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,20,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,21,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,22,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,5,23,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,0,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,1,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,2,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,3,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,4,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,5,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,6,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,7,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,8,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,9,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,10,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,11,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,12,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,13,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,14,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,15,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,16,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,17,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,18,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,19,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,20,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,21,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,22,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,6,23,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,0,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,1,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,2,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,3,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,4,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,5,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,6,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,7,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,8,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,9,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,10,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,11,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,12,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,13,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,14,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,15,NA,NA,NA,NA,NA
"US-xSE",-76.56,38.8901,2001,1,7,16,NA,NA,NA,NA,NA
