ID,koppen,year,doy,hour,lon,lat,ta_f,p_f,rh,sw_in_f,vpd_f,ts_f,swc_f_mds_1,swc_f_mds_2,swc_f_mds_3,swc_f_mds_4,nee_vut_ref,nee_vut_25,nee_vut_75,nee_nt_vut_ref,nee_nt_vut_25,nee_nt_vut_75,gpp_nt_vut_ref,gpp_nt_vut_25,gpp_nt_vut_75,lat_lon
US-xSC,Cfa,2019,1,0,-78.1395,38.8929,12.8885,0,84.6,1.035,2.291,7.379,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,1,-78.1395,38.8929,17.406,0,69.6,0.2325,6.064,7.89,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,2,-78.1395,38.8929,18.91,0,62.525,0,8.194,8.7925,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,3,-78.1395,38.8929,18.458,0,63.62,0,7.7305,9.227,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,4,-78.1395,38.8929,17.6825,0,58.97,0.1775,8.301,9.3265,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,5,-78.1395,38.8929,16.9915,0,53.51,0.3275,9.005,9.3435,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,6,-78.1395,38.8929,16.508,0,49.135,0.4325,9.5555,9.055,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,7,-78.1395,38.8929,16.0885,0,47.63,3.485,9.58,8.9505,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,8,-78.1395,38.8929,15.3465,0,49.855,41.5425,8.7475,8.9705,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,9,-78.1395,38.8929,15.019,0,49.925,98.8725,8.5535,9.055,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,10,-78.1395,38.8929,14.574,0,50.755,152.8975,8.1725,9.4205,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,11,-78.1395,38.8929,13.575,0,53.275,179.2275,7.272,9.819,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,12,-78.1395,38.8929,12.8375,0,52.73,242.415,7.0075,9.9025,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,13,-78.1395,38.8929,11.837,0,56.55,138.9825,6.0315,10.026,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,14,-78.1395,38.8929,10.4895,0,63.515,109.2425,4.6365,9.8125,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,15,-78.1395,38.8929,9.5765,0,65.09,71.3075,4.168,9.448,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,16,-78.1395,38.8929,9.0415,0,63.565,32.56,4.1965,8.939,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,17,-78.1395,38.8929,8.045,0,65.505,0.5175,3.714,8.2025,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
US-xSC,Cfa,2019,1,18,-78.1395,38.8929,7.4865,0,66.795,0.2225,3.441,7.553,-9999,-9999,-9999,-9999,,,,,,,,,,38.8929_-78.1395
