ID,koppen,year,doy,hour,lon,lat,ta_f,p_f,rh,sw_in_f,vpd_f,ts_f,swc_f_mds_1,swc_f_mds_2,swc_f_mds_3,swc_f_mds_4,nee_vut_ref,nee_vut_25,nee_vut_75,nee_nt_vut_ref,nee_nt_vut_25,nee_nt_vut_75,gpp_nt_vut_ref,gpp_nt_vut_25,gpp_nt_vut_75,lat_lon
US-xGR,Cfa,2019,1,0,-83.5019,35.689,14.533999999999999,0,89.44999999999999,0.1725,1.7455,13.055,0.797,-9999,-9999,NA,4.56006,4.157075000000001,4.490855,3.1232699999999998,3.12066,3.48309,-1.453405,-1.3592650000000002,-0.802069,35.689_-83.5019
US-xGR,Cfa,2019,1,1,-83.5019,35.689,14.163,0,82.83500000000001,0,2.7715,12.92,0.797,-9999,-9999,NA,4.82105,4.82105,4.942735000000001,3.07747,3.0741050000000003,3.4333549999999997,-1.7667,-1.809225,-1.50403,35.689_-83.5019
US-xGR,Cfa,2019,1,2,-83.5019,35.689,12.859,0,78.13,0.2275,3.262,12.6625,0.796,-9999,-9999,NA,4.734405000000001,4.734405000000001,4.734405000000001,2.91761,2.905615,3.253095,-1.86159,-1.83096,-1.61837,35.689_-83.5019
US-xGR,Cfa,2019,1,3,-83.5019,35.689,11.6155,0,84.065,0,2.181,12.35,0.795,-9999,-9999,NA,4.2027149999999995,4.19145,4.422375,2.76637,2.74901,3.0777900000000002,-1.5005700000000002,-1.493225,-1.2629155,35.689_-83.5019
US-xGR,Cfa,2019,1,4,-83.5019,35.689,11.4555,0,83.58500000000001,0,2.2215,12.0885,0.795,-9999,-9999,NA,5.337235,5.337235,5.6294450000000005,2.74703,2.7289149999999998,3.055405,-2.656805,-2.63844,-2.522715,35.689_-83.5019
US-xGR,Cfa,2019,1,5,-83.5019,35.689,10.8535,0,84.38499999999999,0.07,2.0305,11.859,0.8,-9999,-9999,NA,4.686344999999999,4.94153,5.2013300000000005,2.6745900000000002,2.6567350000000003,2.971615,-2.08702,-2.3812100000000003,-2.074105,35.689_-83.5019
US-xGR,Cfa,2019,1,6,-83.5019,35.689,10.379999999999999,0,79.43,0.42000000000000004,2.5975,11.625499999999999,0.8005,-9999,-9999,NA,2.7333350000000003,2.7333350000000003,3.2560700000000002,2.6179550000000003,2.6003249999999998,2.90618,-0.19714800000000002,-0.6145164999999999,-0.11722650000000001,35.689_-83.5019
US-xGR,Cfa,2019,1,7,-83.5019,35.689,10.151,0,77.675,0.7325,2.7705,11.372499999999999,0.8015000000000001,-9999,-9999,NA,1.367375,1.367375,1.796415,2.59059,2.57307,2.874575,1.1383240000000001,0.8175465000000001,1.5072,35.689_-83.5019
US-xGR,Cfa,2019,1,8,-83.5019,35.689,10.2835,0,77.185,19.724999999999998,2.8565,11.1945,0.8015000000000001,-9999,-9999,NA,1.958815,1.15834,1.958815,2.60639,2.5888,2.89281,0.5644534999999999,0.6437865,1.73447,35.689_-83.5019
US-xGR,Cfa,2019,1,9,-83.5019,35.689,10.471,0,79.565,64.61500000000001,2.59,11.1915,0.8,-9999,-9999,NA,1.478855,0.69199600000000006,1.478855,2.628795,2.6111199999999997,2.9187000000000003,1.0693869999999999,1.146205,2.226705,35.689_-83.5019
US-xGR,Cfa,2019,1,10,-83.5019,35.689,11.0335,0,79.55,116.77,2.6915,11.331,0.8,-9999,-9999,NA,0.7966770000000001,-0.012353395,0.7966770000000001,2.6962200000000003,2.678285,2.996625,1.82684,1.888715,2.859435,35.689_-83.5019
US-xGR,Cfa,2019,1,11,-83.5019,35.689,11.545,0,78.905,251.505,2.873,11.7015,0.7975000000000001,-9999,-9999,NA,0.503491,0.019353999999999982,0.510746,2.757855,2.7403250000000003,3.06793,2.189095,2.236835,2.8975549999999997,35.689_-83.5019
US-xGR,Cfa,2019,1,12,-83.5019,35.689,12.0315,0,78.36,229.84,3.0465,12.154,0.799,-9999,-9999,NA,1.5128949999999999,1.39284,1.5128949999999999,2.81675,2.80143,3.1361299999999996,1.245915,1.288535,1.74329,35.689_-83.5019
US-xGR,Cfa,2019,1,13,-83.5019,35.689,12.5045,0,77.63499999999999,281.855,3.243,12.528,0.797,-9999,-9999,NA,2.28153,2.28153,2.28153,2.87421,2.86143,3.2027200000000002,0.54206,0.579898,0.9211885,35.689_-83.5019
US-xGR,Cfa,2019,1,14,-83.5019,35.689,12.008500000000002,0,84.5,282.875,2.177,12.813,0.8,-9999,-9999,NA,2.419955,2.419955,2.419955,2.813935,2.79849,3.13287,0.335669,0.3785335,0.712913,35.689_-83.5019
US-xGR,Cfa,2019,1,15,-83.5019,35.689,12.016,0,83.11,184.9475,2.3724999999999996,13.0505,0.7985,-9999,-9999,NA,3.0701549999999997,3.0701549999999997,3.0701549999999997,2.814855,2.79945,3.13393,-0.3134925,-0.2707075,0.06377655,35.689_-83.5019
US-xGR,Cfa,2019,1,16,-83.5019,35.689,11.556000000000001,0,83.91,78.2775,2.1935000000000002,12.8895,0.797,-9999,-9999,NA,2.660075,2.660075,2.660075,2.7591900000000003,2.7418050000000003,3.06948,0.034017900000000004,0.0817325,0.409404,35.689_-83.5019
US-xGR,Cfa,2019,1,17,-83.5019,35.689,10.617,0,85.775,5.8075,1.822,12.475999999999999,0.801,-9999,-9999,NA,2.7858099999999997,2.7221849999999996,2.7858099999999997,2.646265,2.628525,2.938885,-0.218087,-0.157285,0.153073,35.689_-83.5019
US-xGR,Cfa,2019,1,18,-83.5019,35.689,9.880500000000001,0,89.66,0,1.261,11.940999999999999,0.8,-9999,-9999,NA,2.9902550000000003,2.901085,6.639950000000001,2.558415,2.54102,2.83744,-0.5202955,-3.73366,-0.3388365,35.689_-83.5019
US-xGR,Cfa,2019,1,19,-83.5019,35.689,9.6665,0,88.58,0.23,1.3715,11.553,0.799,-9999,-9999,NA,4.773045,4.773045,7.077895,2.53301,2.51571,2.8081199999999997,-2.3312720000000002,-4.302555,-2.1826325,35.689_-83.5019
US-xGR,Cfa,2019,1,20,-83.5019,35.689,9.5715,0,84.39,0,1.8639999999999999,11.4315,0.8,-9999,-9999,NA,7.953845,6.04017,6.85851,2.52178,2.50453,2.795175,-5.5245,-4.065785,-3.58373,35.689_-83.5019
