ID,koppen,year,doy,hour,lon,lat,ta_f,p_f,rh,sw_in_f,vpd_f,ts_f,swc_f_mds,nee_vut_ref,nee_nt_vut_ref,gpp_nt_vut_ref,lat_lon
JP-Srk,Dfa,2010,1,0,140.127794,40.565485,-5.049583533374764,0.1484629287285908,92.97938021765486,0,0.9049768642213598,NA,NA,1.76775090580485,-9999,-9999,40.565485_140.127794
JP-Srk,Dfa,2010,1,1,140.127794,40.565485,-5.422625953199165,0.1162175867422911,96.85354661016497,0,0.7341722721365005,NA,NA,2.08216563680605,-9999,-9999,40.565485_140.127794
JP-Srk,Dfa,2010,1,2,140.127794,40.565485,-5.654851035738846,0.083972244755991493,99.12489319472795,0,0.6391321536364023,NA,NA,3.86229297353944,-9999,-9999,40.565485_140.127794
JP-Srk,Dfa,2010,1,3,140.127794,40.565485,-5.978072116933308,0.1437604830222542,100.59531104867749,0,0.5778875738809908,NA,NA,5.483890358775771,-9999,-9999,40.565485_140.127794
JP-Srk,Dfa,2010,1,4,140.127794,40.565485,-6.409994300593144,0.1296531459032471,101.83345531760469,0,0.5272742536876391,NA,NA,7.26515287814854,-9999,-9999,40.565485_140.127794
JP-Srk,Dfa,2010,1,5,140.127794,40.565485,-6.3045871709297305,0.1088280292037633,99.06451806061438,0,0.6299098130257511,NA,NA,7.26515287814854,-9999,-9999,40.565485_140.127794
JP-Srk,Dfa,2010,1,6,140.127794,40.565485,-6.097890377605398,0.083972244755991493,95.77877614586055,7.845736594737754,0.7563901954060922,NA,NA,5.046730978710765,-9999,-9999,40.565485_140.127794
JP-Srk,Dfa,2010,1,7,140.127794,40.565485,-5.977166210495368,0.0685213517208874,95.67988800906366,60.597057638217436,0.7636086229449558,NA,NA,-1.7444670478592033,-9999,-9999,40.565485_140.127794
JP-Srk,Dfa,2010,1,8,140.127794,40.565485,-5.812971381435638,0.0628033111104847,96.61740933629383,167.66350469801938,0.7328818169522265,NA,NA,-8.36502924963995,-9999,-9999,40.565485_140.127794
JP-Srk,Dfa,2010,1,9,140.127794,40.565485,-5.617768735570081,0.070394920145819,91.71514578511142,238.86658277830787,0.9303412359995648,NA,NA,2.168797148465875,-9999,-9999,40.565485_140.127794
JP-Srk,Dfa,2010,1,10,140.127794,40.565485,-5.473731540933586,0.0883387233202451,87.44115829646572,289.5213095061009,1.1065859518026306,NA,NA,0.2984433616008765,-9999,-9999,40.565485_140.127794
JP-Srk,Dfa,2010,1,11,140.127794,40.565485,-5.420416280829311,0.1000712100112145,86.33685652782776,315.3707834329843,1.1539660675789594,NA,NA,-2.5255703286544273,-9999,-9999,40.565485_140.127794
JP-Srk,Dfa,2010,1,12,140.127794,40.565485,-5.3774201033259,0.1055923802187298,87.31432535630825,281.63163877652124,1.117672954020394,NA,NA,-4.62176215463035,-9999,-9999,40.565485_140.127794
