ID,koppen,year,doy,hour,lon,lat,ta_f,p_f,rh,sw_in_f,vpd_f,ts_f,swc_f_mds_1,swc_f_mds_2,swc_f_mds_3,swc_f_mds_4,nee_vut_ref,nee_vut_25,nee_vut_75,nee_nt_vut_ref,nee_nt_vut_25,nee_nt_vut_75,gpp_nt_vut_ref,gpp_nt_vut_25,gpp_nt_vut_75,lat_lon
US-xML,Dfb,2019,1,0,-80.5248,37.3783,11.957,0,88.86,0.1425,1.5585,7.7585,13.945,-9999,9.354,7.925,6.449775,5.13568,6.285085,2.938075,2.931465,2.992055,-3.51831,-3.51961,-2.198755,37.3783_-80.5248
US-xML,Dfb,2019,1,1,-80.5248,37.3783,11.4645,0,92.845,0.2825,0.971,7.816,13.952,-9999,9.354,8.015,4.984915,4.32033,4.984915,2.914485,2.908335,2.96465,-2.07658,-2.07665,-1.35568,37.3783_-80.5248
US-xML,Dfb,2019,1,2,-80.5248,37.3783,10.9365,0,98.255,0.41,0.2285,7.872,13.956,-9999,9.354,8.055,3.92033,3.92033,4.064245,2.88898,2.88333,2.93505,-1.037002,-1.158348,-1.002765,37.3783_-80.5248
US-xML,Dfb,2019,1,3,-80.5248,37.3783,10.476,0,87.985,0.37,1.516,7.8565,13.584,-9999,9.354,7.925,3.161,3.161,3.498125,2.86649,2.861265,2.908985,-0.2997305,-0.6809835,-0.285838,37.3783_-80.5248
US-xML,Dfb,2019,1,4,-80.5248,37.3783,9.1555,0,87.39,0,1.4685,7.566,13.29,-9999,9.354,7.9615,3.26093,3.26093,3.3095,2.801025,2.79706,2.833275,-0.463873,-0.80225,-0.455543,37.3783_-80.5248
US-xML,Dfb,2019,1,5,-80.5248,37.3783,8.104,0,88.975,0.4275,1.1885,7.31,13.29,-9999,9.1905,8.3755,0.8235,0.8235,1.878445,2.747785,2.744815,2.771875,1.921315,0.864842,1.908185,37.3783_-80.5248
US-xML,Dfb,2019,1,6,-80.5248,37.3783,7.6195,0,87.515,0.375,1.306,7.1665,13.29,-9999,9.11,8.2405,0.1233335,-0.1481665,0.3202,2.7229,2.720395,2.74324,2.59706,2.40352,2.929345,37.3783_-80.5248
US-xML,Dfb,2019,1,7,-80.5248,37.3783,7.254,0,88.475,2.79,1.176,7.0265,13.3275,-9999,9.083,8.06,-2.376665,-2.376665,-1.728655,2.703975,2.701815,2.72149,5.078485,4.43417,4.99257,37.3783_-80.5248
US-xML,Dfb,2019,1,8,-80.5248,37.3783,7.023,0,90.245,29.8775,0.979,6.922,13.44,-9999,9.032,7.795,-2.00026,-2.00026,-1.81406,2.691955,2.690015,2.707675,4.690275,4.50186,4.69035,37.3783_-80.5248
US-xML,Dfb,2019,1,9,-80.5248,37.3783,6.858,0,90.49,74.235,0.944,6.9455,13.403,-9999,9.115,8.1105,-1.79194,-1.803065,-1.79194,2.68333,2.681545,2.697785,4.473485,4.472025,4.48554,37.3783_-80.5248
US-xML,Dfb,2019,1,10,-80.5248,37.3783,6.451,0,90.45,68.4425,0.9215,7.0215,13.393,-9999,8.985,7.815,-1.71142,-1.746455,-1.71142,2.661945,2.660545,2.67325,4.371965,4.370125,4.41009,37.3783_-80.5248
US-xML,Dfb,2019,1,11,-80.5248,37.3783,6.153,0,86.76,100.895,1.2515,7.0055,13.405,-9999,8.9605,7.83,-2.70932,-2.73368,-2.70932,2.646205,2.64509,2.65521,5.35441,5.35435,5.385105,37.3783_-80.5248
US-xML,Dfb,2019,1,12,-80.5248,37.3783,6.4005,0,84.595,153.28,1.4815,7.059,13.3525,-9999,8.9685,7.83,-3.01979,-3.01979,-3.01979,2.65929,2.657945,2.67021,5.677735,5.677735,5.69,37.3783_-80.5248
US-xML,Dfb,2019,1,13,-80.5248,37.3783,6.2845,0,84.255,166.5125,1.502,7.1405,13.365,-9999,8.9465,7.88,-2.2798,-2.2798,-2.2798,2.653165,2.65192,2.66319,4.93172,4.93172,4.94299,37.3783_-80.5248
US-xML,Dfb,2019,1,14,-80.5248,37.3783,6.313,0,81.705,161.84,1.749,7.1675,13.355,-9999,8.94,7.83,-1.53675,-1.53675,-1.53675,2.65467,2.653405,2.66491,4.190155,4.190155,4.20166,37.3783_-80.5248
US-xML,Dfb,2019,1,15,-80.5248,37.3783,6.2485,0,84.87,128.9175,1.443,7.1165,13.335,-9999,8.96,7.83,-0.249333,-0.249333,-0.249333,2.651235,2.65003,2.66098,2.89936,2.89936,2.91031,37.3783_-80.5248
