ID,koppen,year,doy,hour,lon,lat,ta_f,p_f,rh,sw_in_f,vpd_f,ts_f,swc_f_mds,nee_vut_ref,reco_nt_vut_ref,gpp_nt_vut_ref,lat_lon
JP-Tom,Dfb,2003,1,0,141.571488,42.698906,-15.72,0,86,0,0.2156441536560436,NA,NA,0.237805016373705,0.0167477245834539,-0.221057291790251,42.698906_141.571488
JP-Tom,Dfb,2003,1,1,141.571488,42.698906,-16.41,0,85,0,0.2166343892993929,NA,NA,0.237805016373705,0.0142632667044014,-0.223541749669303,42.698906_141.571488
JP-Tom,Dfb,2003,1,2,141.571488,42.698906,-17.16,0,84,0,0.2153643499086606,NA,NA,0.0516366034311503,0.0118750640620621,-0.0397615393690882,42.698906_141.571488
JP-Tom,Dfb,2003,1,3,141.571488,42.698906,-18.02,0,83,0,0.210963292449132,NA,NA,-0.65760013238109,0.0095089719137249,0.667109104294815,42.698906_141.571488
JP-Tom,Dfb,2003,1,4,141.571488,42.698906,-18.46,0,83,0,0.2023268481792139,NA,NA,-0.65760013238109,0.0084417272350364,0.666041859616126,42.698906_141.571488
JP-Tom,Dfb,2003,1,5,141.571488,42.698906,-18.87,0,82,0,0.2060170434304907,NA,NA,-0.963858283741588,0.0075291493590539,0.971387433100642,42.698906_141.571488
JP-Tom,Dfb,2003,1,6,141.571488,42.698906,-18.76,0,82,0,0.2081913464694963,NA,NA,-0.963858283741588,0.0077664552380118,0.9716247389796,42.698906_141.571488
JP-Tom,Dfb,2003,1,7,141.571488,42.698906,-18.22,0,82,0,0.2191729492767624,NA,NA,-0.65760013238109,0.009012295615937,0.666612427997027,42.698906_141.571488
JP-Tom,Dfb,2003,1,8,141.571488,42.698906,-17.54,0,83,48.4,0.220768496694113,NA,NA,-2.51257661957062,0.0107823649940814,2.5233589845647,42.698906_141.571488
JP-Tom,Dfb,2003,1,9,141.571488,42.698906,-13.73,0,83,174.4,0.3146856886378775,NA,NA,-0.21689313131604948,0.0256087197026175,0.2425018510186665,42.698906_141.571488
JP-Tom,Dfb,2003,1,10,141.571488,42.698906,-7.99,0,72,283.5,0.8667717374592141,NA,NA,-0.161402583117356,0.0679574732073803,0.229360056324736,42.698906_141.571488
JP-Tom,Dfb,2003,1,11,141.571488,42.698906,-3.76,0,49,333.3,2.2731023225255487,NA,NA,-0.295904439378657,0.117732571052946,0.413637010431603,42.698906_141.571488
JP-Tom,Dfb,2003,1,12,141.571488,42.698906,-3.38,0,43,253.8,2.6235813698801227,NA,NA,-0.0382211242895712,0.123032124269594,0.161253248559166,42.698906_141.571488
JP-Tom,Dfb,2003,1,13,141.571488,42.698906,-2.71,0,40,287.4,2.9221692183196195,NA,NA,0.0655612743146297,0.132713793410288,0.0671525190956582,42.698906_141.571488
JP-Tom,Dfb,2003,1,14,141.571488,42.698906,-3.45,0,42,135.9,2.653854685437243,NA,NA,-0.0724853174325562,0.122045485487969,0.194530802920526,42.698906_141.571488
JP-Tom,Dfb,2003,1,15,141.571488,42.698906,-2.95,0,43,198.8,2.7205387052673755,NA,NA,0.19484865868787,0.129196134464616,-0.0656525242232535,42.698906_141.571488
JP-Tom,Dfb,2003,1,16,141.571488,42.698906,-4.38,0,49,33.4,2.156438637669797,NA,NA,0.252843435346276,0.109382663770639,-0.143460771575637,42.698906_141.571488
JP-Tom,Dfb,2003,1,17,141.571488,42.698906,-6.51,0,58,0,1.4790101533047744,NA,NA,0.10893080722156499,0.0834741112326959,-0.025456695988869,42.698906_141.571488
JP-Tom,Dfb,2003,1,18,141.571488,42.698906,-9.17,0,71,0,0.8091941355058287,NA,NA,-0.0999390867539918,0.0570015503721005,0.156940637126092,42.698906_141.571488
JP-Tom,Dfb,2003,1,19,141.571488,42.698906,-11.34,0,79,0,0.4829004430729595,NA,NA,0.239042098691304,0.0399867673905595,-0.199055331300744,42.698906_141.571488
JP-Tom,Dfb,2003,1,20,141.571488,42.698906,-12.36,0,83,0,0.3565315439598415,NA,NA,0.511374646125842,0.0333184071511791,-0.478056238974663,42.698906_141.571488
JP-Tom,Dfb,2003,1,21,141.571488,42.698906,-13.43,0,84,0,0.3044189335843463,NA,NA,0.502617270962793,0.0271792835186371,-0.475437987444156,42.698906_141.571488
JP-Tom,Dfb,2003,1,22,141.571488,42.698906,-14.14,0,85,0,0.2674100366451595,NA,NA,0.613417549680776,0.0235652766994447,-0.589852272981331,42.698906_141.571488
JP-Tom,Dfb,2003,1,23,141.571488,42.698906,-15.65,0,86,0,0.217053577500339,NA,NA,0.446873128779837,0.0170158447876389,-0.429857283992198,42.698906_141.571488
JP-Tom,Dfb,2003,2,0,141.571488,42.698906,-16.97,0,84,0,0.2192495902353575,NA,NA,0.19005690043433,0.0124504670979713,-0.177606433336359,42.698906_141.571488
JP-Tom,Dfb,2003,2,1,141.571488,42.698906,-17.88,0,83,0,0.2137811652404226,NA,NA,-0.65760013238109,0.0098683651486445,0.667468497529735,42.698906_141.571488
JP-Tom,Dfb,2003,2,2,141.571488,42.698906,-17.4,0,84,0,0.2105466925571919,NA,NA,-0.65760013238109,0.0111760534098432,0.668776185790933,42.698906_141.571488
JP-Tom,Dfb,2003,2,3,141.571488,42.698906,-16.8,0,83,0,0.2367038282187235,NA,NA,0.19005690043433,0.0129821216874665,-0.177074778746864,42.698906_141.571488
JP-Tom,Dfb,2003,2,4,141.571488,42.698906,-18.06,0,83,0,0.2101644499775912,NA,NA,-0.65760013238109,0.0094080713413549,0.667008203722445,42.698906_141.571488
JP-Tom,Dfb,2003,2,5,141.571488,42.698906,-17.61,0,83,0,0.2193130819042403,NA,NA,-0.65760013238109,0.0105893486620023,0.668189481043092,42.698906_141.571488
JP-Tom,Dfb,2003,2,6,141.571488,42.698906,-17.59,0,82,0,0.2326531940622929,NA,NA,-0.65760013238109,0.0106442374930939,0.668244369874184,42.698906_141.571488
JP-Tom,Dfb,2003,2,7,141.571488,42.698906,-13.95,0,79,0,0.3809652047908103,NA,NA,0.613417549680776,0.0244976104365562,-0.588919939244219,42.698906_141.571488
JP-Tom,Dfb,2003,2,8,141.571488,42.698906,-13.14,0,79,46.1,0.41027039253916753,NA,NA,0.047890825190641695,0.0287592844337407,-0.019131540756900857,42.698906_141.571488
JP-Tom,Dfb,2003,2,9,141.571488,42.698906,-9.57,0,74,170,0.7002422161593889,NA,NA,-2.15053484615645,0.0535652622637973,2.20410010842024,42.698906_141.571488
JP-Tom,Dfb,2003,2,10,141.571488,42.698906,-5.67,0,62,286.7,1.4387702995633331,NA,NA,-0.204264561154163,0.0931813990785463,0.297445960232709,42.698906_141.571488
JP-Tom,Dfb,2003,2,11,141.571488,42.698906,-4.31,0,60,350.6,1.7014367079115078,NA,NA,0.0407731116507334,0.110307008365199,0.0695338967144653,42.698906_141.571488
JP-Tom,Dfb,2003,2,12,141.571488,42.698906,-2.95,0,56,358.9,2.100064965469553,NA,NA,0.108165009906763,0.129196134464616,0.0210311245578532,42.698906_141.571488
JP-Tom,Dfb,2003,2,13,141.571488,42.698906,-1.54,0,52,359.4,2.578341198856645,NA,NA,-0.0825339731937875,0.150656392130423,0.233190365324211,42.698906_141.571488
JP-Tom,Dfb,2003,2,14,141.571488,42.698906,-1.19,0,53,294.6,2.599267418378437,NA,NA,1.32425436690149,0.156279986507105,-1.16797438039439,42.698906_141.571488
JP-Tom,Dfb,2003,2,15,141.571488,42.698906,-1.86,0,59,158.8,2.144293727445762,NA,NA,0.413231137855014,0.145618044326403,-0.267613093528612,42.698906_141.571488
JP-Tom,Dfb,2003,2,16,141.571488,42.698906,-3.32,0,67,44.8,1.5266372241492636,NA,NA,0.10673105397306,0.123881557643535,0.0171505036704759,42.698906_141.571488
JP-Tom,Dfb,2003,2,17,141.571488,42.698906,-5.19,0,76,1.2,0.9469343523307484,NA,NA,0.266960763726074,0.0990257135495297,-0.167935050176544,42.698906_141.571488
JP-Tom,Dfb,2003,2,18,141.571488,42.698906,-7.44,0,83,0,0.5521691993987683,NA,NA,0.0769886582240182,0.0734900514921746,-0.0034986067318436,42.698906_141.571488
JP-Tom,Dfb,2003,2,19,141.571488,42.698906,-9.48,0,87,0,0.3529254169971367,NA,NA,-0.302955552780093,0.0543263533311667,0.357281906111259,42.698906_141.571488
JP-Tom,Dfb,2003,2,20,141.571488,42.698906,-9.98,0,86,0,0.363570570254307,NA,NA,-0.302955552780093,0.0501860068866776,0.35314155966677,42.698906_141.571488
JP-Tom,Dfb,2003,2,21,141.571488,42.698906,-10.94,0,87,0,0.3098676556211366,NA,NA,0.287164171804255,0.0428282134348349,-0.24433595836942,42.698906_141.571488
JP-Tom,Dfb,2003,2,22,141.571488,42.698906,-12.11,0,88,0,0.2574313070083354,NA,NA,0.492835459159623,0.0348774576027026,-0.45795800155692,42.698906_141.571488
JP-Tom,Dfb,2003,2,23,141.571488,42.698906,-11.88,0,89,0,0.2409352107429543,NA,NA,0.467296373349879,0.0363546246184775,-0.430941748731401,42.698906_141.571488
JP-Tom,Dfb,2003,3,0,141.571488,42.698906,-10.22,0,88,0,0.3050431201486083,NA,NA,-0.302955552780093,0.0482742636112521,0.351229816391345,42.698906_141.571488
JP-Tom,Dfb,2003,3,1,141.571488,42.698906,-10.37,0,88,0,0.3009899062003613,NA,NA,-0.302955552780093,0.047104073694058,0.350059626474151,42.698906_141.571488
JP-Tom,Dfb,2003,3,2,141.571488,42.698906,-10.4,0,88,0,0.30018518254293,NA,NA,-0.302955552780093,0.046872299380603,0.349827852160696,42.698906_141.571488
JP-Tom,Dfb,2003,3,3,141.571488,42.698906,-11.2,0,89,0,0.256150188434284,NA,NA,0.239042098691304,0.0409665125415483,-0.198075586149755,42.698906_141.571488
JP-Tom,Dfb,2003,3,4,141.571488,42.698906,-12,0,89,0,0.2383374736080878,NA,NA,0.492835459159623,0.0355787762156868,-0.457256682943936,42.698906_141.571488
